HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Index,Input.HS_CITY,Input.HS_COUNTRY,Input.HS_NAME,Input.HS_POSTAL_CD,Input.HS_STATE,Input.HS_CEEB,Input.HS_NCES,Input.HS_MATCH_NAME,Input.HS_STATE_FULL,Answer.HS_NCES,Answer.HS_NO_NCES.on,Approve,Reject
301KG0KXAHORO25NWY1K0ZC19VKH2C,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:40 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:40 PDT 2020, , ,3AUQQEL7UAWSXDVNC2JCKW5G2TR0V7,A1CQV7HYUMH4X,Submitted,Thu Jun 18 11:42:04 PDT 2020,Thu Jun 18 11:43:08 PDT 2020,Sun Jun 21 11:43:08 PDT 2020, , , ,64,0% (0/0),0% (0/0),0% (0/0),929,Lancaster,USA,lancaster catholic high school,17601,PA,392100, , ,Pennsylvania, ,true,x, 
301KG0KXAHORO25NWY1K0ZC19VKH2C,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:40 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:40 PDT 2020, , ,3JC6VJ2SAGM70WEQYDYS54NUYR0A50,A17LA7KM9S0SCS,Submitted,Thu Jun 18 11:37:10 PDT 2020,Thu Jun 18 11:44:10 PDT 2020,Sun Jun 21 11:44:10 PDT 2020, , , ,420,0% (0/0),0% (0/0),0% (0/0),929,Lancaster,USA,lancaster catholic high school,17601,PA,392100, , ,Pennsylvania,450258000691,false, ,x
301KG0KXAHORO25NWY1K0ZC19VKH2C,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:40 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:40 PDT 2020, , ,3QAPZX2QN9GJ0MXLOSZ1IR855VT02U,AQA4AX0RCRPSV,Submitted,Thu Jun 18 11:23:20 PDT 2020,Thu Jun 18 11:23:27 PDT 2020,Sun Jun 21 11:23:27 PDT 2020, , , ,7,0% (0/0),0% (0/0),0% (0/0),929,Lancaster,USA,lancaster catholic high school,17601,PA,392100, , ,Pennsylvania, ,true, ,x
301KG0KXAHORO25NWY1K0ZC19VKH2C,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:40 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:40 PDT 2020, , ,3V5Q80FXI2UFHEWI7FHKKP6C87I32X,A1OPD4GNPUY4EO,Submitted,Thu Jun 18 11:41:24 PDT 2020,Thu Jun 18 11:41:36 PDT 2020,Sun Jun 21 11:41:36 PDT 2020, , , ,12,0% (0/0),0% (0/0),0% (0/0),929,Lancaster,USA,lancaster catholic high school,17601,PA,392100, , ,Pennsylvania,060002911249,true,x, 
301KG0KXAHORO25NWY1K0ZC19VL2HY,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:03 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:03 PDT 2020, , ,30ZX6P7VFDYQ2SY7A0970WN144I2JM,A12X0FLEDDVFPI,Submitted,Thu Jun 18 12:26:47 PDT 2020,Thu Jun 18 12:27:23 PDT 2020,Sun Jun 21 12:27:23 PDT 2020, , , ,36,0% (0/0),0% (0/0),0% (0/0),1264,Durham,USA,carolina friends school,27705,NC,341047, , ,North Carolina, ,true,x, 
301KG0KXAHORO25NWY1K0ZC19VL2HY,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:03 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:03 PDT 2020, , ,31Q0U3WYDUIQTCF9QNKWSN8NL3Y71X,A17LA7KM9S0SCS,Submitted,Thu Jun 18 12:08:51 PDT 2020,Thu Jun 18 12:13:13 PDT 2020,Sun Jun 21 12:13:13 PDT 2020, , , ,262,0% (0/0),0% (0/0),0% (0/0),1264,Durham,USA,carolina friends school,27705,NC,341047, , ,North Carolina, ,true, ,x
301KG0KXAHORO25NWY1K0ZC19VL2HY,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:03 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:03 PDT 2020, , ,32N49TQG3LLOYQT544G592HTBFCAVH,A3C9NF541MQ83M,Submitted,Thu Jun 18 12:13:04 PDT 2020,Thu Jun 18 12:13:08 PDT 2020,Sun Jun 21 12:13:08 PDT 2020, , , ,4,0% (0/0),0% (0/0),0% (0/0),1264,Durham,USA,carolina friends school,27705,NC,341047, , ,North Carolina, ,true, ,x
301KG0KXAHORO25NWY1K0ZC19VL2HY,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:03 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:03 PDT 2020, , ,3K4J6M3CXJW5GT3AF9HJ91EJO0MGAW,A1FYJYV4GBFELD,Submitted,Thu Jun 18 12:07:36 PDT 2020,Thu Jun 18 12:08:02 PDT 2020,Sun Jun 21 12:08:02 PDT 2020, , , ,26,0% (0/0),0% (0/0),0% (0/0),1264,Durham,USA,carolina friends school,27705,NC,341047, , ,North Carolina, ,false, ,x
302OLP89E4APCXPBNLGYVQYJ8R7CA5,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:44 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:44 PDT 2020, , ,304SM51WA87DP8HTGNBWTQHSUTSSBE,A3AJ5Z7JX7LBAW,Submitted,Thu Jun 18 11:36:46 PDT 2020,Thu Jun 18 11:38:39 PDT 2020,Sun Jun 21 11:38:39 PDT 2020, , , ,113,0% (0/0),0% (0/0),0% (0/0),992,Toms River,USA,monsignor donovan high school,08753,NJ,311463, , ,New Jersey, ,true,x, 
302OLP89E4APCXPBNLGYVQYJ8R7CA5,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:44 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:44 PDT 2020, , ,3DBQWDE4YB1EKF8F7H3XRA7UXY25NI,AZEBFFZ9Z5VVX,Submitted,Thu Jun 18 11:49:06 PDT 2020,Thu Jun 18 11:53:27 PDT 2020,Sun Jun 21 11:53:27 PDT 2020, , , ,261,0% (0/0),0% (0/0),0% (0/0),992,Toms River,USA,monsignor donovan high school,08753,NJ,311463, , ,New Jersey, ,true,x, 
